calciatore,ruolo,squadra,fantasquadra,costo,budget_lega,costo_pct,costo_normalizzato_1000,anno_asta,stagione_asta,prev_season
Handanovic,P,Int,A Riprovamoce Fc,20.0,250.0,8.0,80.0,2021,2021-22,2020-21
Berisha,P,Tor,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Radu I.,P,Int,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Cordaz,P,Int,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Milinkovic-Savic V.,P,Tor,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Berardi A.,P,Ver,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Gemello,P,Tor,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Montipo',P,Ver,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Pandur,P,Ver,A Riprovamoce Fc,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Mario Rui,D,Nap,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Alex Sandro,D,Juv,A Riprovamoce Fc,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Ferrari G.,D,Sas,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Mancini,D,Rom,A Riprovamoce Fc,12.0,250.0,4.8,48.0,2021,2021-22,2020-21
Stryger Larsen,D,Udi,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Nastasic,D,Fio,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Hernandez T.,D,Mil,A Riprovamoce Fc,30.0,250.0,12.0,120.0,2021,2021-22,2020-21
Dumfries,D,Int,A Riprovamoce Fc,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Perisic,C,Int,A Riprovamoce Fc,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Chiesa,C,Juv,A Riprovamoce Fc,50.0,250.0,20.0,200.0,2021,2021-22,2020-21
Veretout,C,Rom,A Riprovamoce Fc,38.0,250.0,15.2,152.0,2021,2021-22,2020-21
Hernani,C,Gen,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Saelemaekers,C,Mil,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Damsgaard,C,Sam,A Riprovamoce Fc,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Miranchuk,C,Ata,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Ilic,C,Ver,A Riprovamoce Fc,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Dybala,A,Juv,A Riprovamoce Fc,36.0,250.0,14.4,144.0,2021,2021-22,2020-21
Insigne,A,Nap,A Riprovamoce Fc,32.0,250.0,12.8,128.0,2021,2021-22,2020-21
Cutrone,A,Emp,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Pedro,A,Laz,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Barrow,A,Bol,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Raspadori,A,Sas,A Riprovamoce Fc,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Sportiello,P,Ata,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Marchetti,P,Gen,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Sirigu,P,Gen,LEICESTA FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Rossi F.,P,Ata,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Fuzato,P,Rom,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Musso,P,Ata,LEICESTA FC,13.0,250.0,5.2,52.0,2021,2021-22,2020-21
Semper,P,Gen,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Rui Patricio,P,Rom,LEICESTA FC,11.0,250.0,4.4,44.0,2021,2021-22,2020-21
Andrenacci,P,Gen,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Boer,P,Rom,LEICESTA FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
De Vrij,D,Int,LEICESTA FC,9.0,250.0,3.6,36.0,2021,2021-22,2020-21
Florenzi,D,Mil,LEICESTA FC,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Acerbi,D,Laz,LEICESTA FC,6.0,250.0,2.4,24.0,2021,2021-22,2020-21
Zappacosta,D,Ata,LEICESTA FC,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Spinazzola,D,Rom,LEICESTA FC,6.0,250.0,2.4,24.0,2021,2021-22,2020-21
Criscito,D,Gen,LEICESTA FC,8.0,250.0,3.2,32.0,2021,2021-22,2020-21
Maehle,D,Ata,LEICESTA FC,8.0,250.0,3.2,32.0,2021,2021-22,2020-21
Vina,D,Rom,LEICESTA FC,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Zielinski,C,Nap,LEICESTA FC,19.0,250.0,7.6,76.0,2021,2021-22,2020-21
Pereyra,C,Udi,LEICESTA FC,14.0,250.0,5.6,56.0,2021,2021-22,2020-21
Bonaventura,C,Fio,LEICESTA FC,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Zaccagni,C,Laz,LEICESTA FC,9.0,250.0,3.6,36.0,2021,2021-22,2020-21
Freuler,C,Ata,LEICESTA FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Kessie',C,Mil,LEICESTA FC,22.0,250.0,8.8,88.0,2021,2021-22,2020-21
Djuricic,C,Sas,LEICESTA FC,10.0,250.0,4.0,40.0,2021,2021-22,2020-21
Mckennie,C,Juv,LEICESTA FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Mertens,A,Nap,LEICESTA FC,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Muriel,A,Ata,LEICESTA FC,34.0,250.0,13.6,136.0,2021,2021-22,2020-21
Abraham,A,Rom,LEICESTA FC,23.0,250.0,9.2,92.0,2021,2021-22,2020-21
Giroud,A,Mil,LEICESTA FC,13.0,250.0,5.2,52.0,2021,2021-22,2020-21
Osimhen,A,Nap,LEICESTA FC,25.0,250.0,10.0,100.0,2021,2021-22,2020-21
Shomurodov,A,Rom,LEICESTA FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Ujkani,P,Emp,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Reina,P,Laz,polyflex,16.0,250.0,6.4,64.0,2021,2021-22,2020-21
Padelli,P,Udi,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Strakosha,P,Laz,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Silvestri,P,Udi,polyflex,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Vicario,P,Emp,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Furlan,P,Emp,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Adamonis,P,Laz,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Piana,P,Udi,polyflex,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Luperto,D,Emp,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Skriniar,D,Int,polyflex,12.0,250.0,4.8,48.0,2021,2021-22,2020-21
Karsdorp,D,Rom,polyflex,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Darmian,D,Int,polyflex,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Kjaer,D,Mil,polyflex,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Di Lorenzo,D,Nap,polyflex,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
De Ligt,D,Juv,polyflex,11.0,250.0,4.4,44.0,2021,2021-22,2020-21
Erlic,D,Spe,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Obi,C,Sal,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Milinkovic-Savic,C,Laz,polyflex,33.0,250.0,13.2,132.0,2021,2021-22,2020-21
Rabiot,C,Juv,polyflex,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Mkhitaryan,C,Rom,polyflex,46.0,250.0,18.4,184.0,2021,2021-22,2020-21
Ruiz,C,Nap,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Diaz B.,C,Mil,polyflex,14.0,250.0,5.6,56.0,2021,2021-22,2020-21
Marin,C,Cag,polyflex,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Ricci S.,C,Emp,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Politano,A,Nap,polyflex,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Dzeko,A,Int,polyflex,18.0,250.0,7.2,72.0,2021,2021-22,2020-21
Joao Pedro,A,Cag,polyflex,21.0,250.0,8.4,84.0,2021,2021-22,2020-21
Ibrahimovic,A,Mil,polyflex,21.0,250.0,8.4,84.0,2021,2021-22,2020-21
Arnautovic,A,Bol,polyflex,11.0,250.0,4.4,44.0,2021,2021-22,2020-21
Mancuso,A,Emp,polyflex,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Tatarusanu,P,Mil,AC Trullo,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Meret,P,Nap,AC Trullo,16.0,250.0,6.4,64.0,2021,2021-22,2020-21
Plizzari,P,Mil,AC Trullo,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Ospina,P,Nap,AC Trullo,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Provedel,P,Spe,AC Trullo,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Maignan,P,Mil,AC Trullo,13.0,250.0,5.2,52.0,2021,2021-22,2020-21
Zoet,P,Spe,AC Trullo,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Marfella,P,Nap,AC Trullo,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Zovko,P,Spe,AC Trullo,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Calabria,D,Mil,AC Trullo,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Koulibaly,D,Nap,AC Trullo,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Faraoni,D,Ver,AC Trullo,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Bastoni,D,Int,AC Trullo,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Gosens,D,Ata,AC Trullo,22.0,250.0,8.8,88.0,2021,2021-22,2020-21
Milenkovic,D,Fio,AC Trullo,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Augello,D,Sam,AC Trullo,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Bastoni S.,D,Spe,AC Trullo,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Candreva,C,Sam,AC Trullo,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Luis Alberto,C,Laz,AC Trullo,45.0,250.0,18.0,180.0,2021,2021-22,2020-21
Calhanoglu,C,Int,AC Trullo,37.0,250.0,14.8,148.0,2021,2021-22,2020-21
Soriano,C,Bol,AC Trullo,8.0,250.0,3.2,32.0,2021,2021-22,2020-21
Malinovskyi,C,Ata,AC Trullo,34.0,250.0,13.6,136.0,2021,2021-22,2020-21
Messias,C,Mil,AC Trullo,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Maggiore,C,Spe,AC Trullo,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Bajrami,C,Emp,AC Trullo,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Ilicic,A,Ata,AC Trullo,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Verde,A,Spe,AC Trullo,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Berardi,A,Sas,AC Trullo,11.0,250.0,4.4,44.0,2021,2021-22,2020-21
Quagliarella,A,Sam,AC Trullo,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Kean,A,Juv,AC Trullo,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Lozano,A,Nap,AC Trullo,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Radunovic,P,Cag,AS Trazeneca,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Consigli,P,Sas,AS Trazeneca,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Pegolo,P,Sas,AS Trazeneca,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Audero,P,Sam,AS Trazeneca,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Aresti,P,Cag,AS Trazeneca,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Satalino,P,Sas,AS Trazeneca,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Falcone,P,Sam,AS Trazeneca,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Cragno,P,Cag,AS Trazeneca,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Ravaglia,P,Sam,AS Trazeneca,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Biraghi,D,Fio,AS Trazeneca,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Bonucci,D,Juv,AS Trazeneca,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Djimsiti,D,Ata,AS Trazeneca,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Lazzari,D,Laz,AS Trazeneca,9.0,250.0,3.6,36.0,2021,2021-22,2020-21
Bremer,D,Tor,AS Trazeneca,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Yoshida,D,Sam,AS Trazeneca,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Singo,D,Tor,AS Trazeneca,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Molina N.,D,Udi,AS Trazeneca,10.0,250.0,4.0,40.0,2021,2021-22,2020-21
Felipe Anderson,C,Laz,AS Trazeneca,33.0,250.0,13.2,132.0,2021,2021-22,2020-21
Verdi,C,Tor,AS Trazeneca,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Pellegrini Lo.,C,Rom,AS Trazeneca,31.0,250.0,12.4,124.0,2021,2021-22,2020-21
Pasalic,C,Ata,AS Trazeneca,11.0,250.0,4.4,44.0,2021,2021-22,2020-21
Barak,C,Ver,AS Trazeneca,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Traore' Hj.,C,Sas,AS Trazeneca,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Lobotka,C,Nap,AS Trazeneca,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Elmas,C,Nap,AS Trazeneca,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Rebic,A,Mil,AS Trazeneca,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Immobile,A,Laz,AS Trazeneca,70.0,250.0,28.0,280.0,2021,2021-22,2020-21
Simy,A,Sal,AS Trazeneca,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Caicedo,A,Gen,AS Trazeneca,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Martinez L.,A,Int,AS Trazeneca,41.0,250.0,16.4,164.0,2021,2021-22,2020-21
Caputo,A,Sam,AS Trazeneca,6.0,250.0,2.4,24.0,2021,2021-22,2020-21
Perin,P,Juv,SALAMI FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Szczesny,P,Juv,SALAMI FC,21.0,250.0,8.4,84.0,2021,2021-22,2020-21
Belec,P,Sal,SALAMI FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Dragowski,P,Fio,SALAMI FC,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Pinsoglio,P,Juv,SALAMI FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Fiorillo,P,Sal,SALAMI FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Rosati,P,Fio,SALAMI FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Terracciano,P,Fio,SALAMI FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Russo,P,Sal,SALAMI FC,0.0,250.0,0.0,0.0,2021,2021-22,2020-21
Hysaj,D,Laz,SALAMI FC,8.0,250.0,3.2,32.0,2021,2021-22,2020-21
Dimarco,D,Int,SALAMI FC,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Manolas,D,Nap,SALAMI FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Cuadrado,D,Juv,SALAMI FC,24.0,250.0,9.6,96.0,2021,2021-22,2020-21
Hateboer,D,Ata,SALAMI FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Danilo,D,Juv,SALAMI FC,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Demiral,D,Ata,SALAMI FC,3.0,250.0,1.2,12.0,2021,2021-22,2020-21
Tomori,D,Mil,SALAMI FC,2.0,250.0,0.8,8.0,2021,2021-22,2020-21
Brozovic,C,Int,SALAMI FC,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Locatelli,C,Juv,SALAMI FC,6.0,250.0,2.4,24.0,2021,2021-22,2020-21
Barella,C,Int,SALAMI FC,20.0,250.0,8.0,80.0,2021,2021-22,2020-21
Orsolini,C,Bol,SALAMI FC,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Pessina,C,Ata,SALAMI FC,7.0,250.0,2.8,28.0,2021,2021-22,2020-21
Zaniolo,C,Rom,SALAMI FC,29.0,250.0,11.6,116.0,2021,2021-22,2020-21
Kulusevski,C,Juv,SALAMI FC,5.0,250.0,2.0,20.0,2021,2021-22,2020-21
Castrovilli,C,Fio,SALAMI FC,1.0,250.0,0.4,4.0,2021,2021-22,2020-21
Morata,A,Juv,SALAMI FC,12.0,250.0,4.8,48.0,2021,2021-22,2020-21
Belotti,A,Tor,SALAMI FC,7.0,250.0,2.8,28.0,2021,2021-22,2020-21
Correa,A,Int,SALAMI FC,13.0,250.0,5.2,52.0,2021,2021-22,2020-21
Zapata D.,A,Ata,SALAMI FC,25.0,250.0,10.0,100.0,2021,2021-22,2020-21
Vlahovic,A,Fio,SALAMI FC,40.0,250.0,16.0,160.0,2021,2021-22,2020-21
Gonzalez N.,A,Fio,SALAMI FC,4.0,250.0,1.6,16.0,2021,2021-22,2020-21
Tatarusanu,P,Mil,MexicoCity,1.0,1000.0,0.1,1.0,2022,2022-23,2021-22
Silvestri,P,Udi,MexicoCity,11.0,1000.0,1.1,11.0,2022,2022-23,2021-22
Maignan,P,Mil,MexicoCity,36.0,1000.0,3.6,36.0,2022,2022-23,2021-22
Biraghi,D,Fio,MexicoCity,22.0,1000.0,2.2,22.0,2022,2022-23,2021-22
Skriniar,D,Int,MexicoCity,26.0,1000.0,2.6,26.0,2022,2022-23,2021-22
Spinazzola,D,Rom,MexicoCity,13.0,1000.0,1.3,13.0,2022,2022-23,2021-22
Bastoni,D,Int,MexicoCity,20.0,1000.0,2.0,20.0,2022,2022-23,2021-22
Karsdorp,D,Rom,MexicoCity,22.0,1000.0,2.2,22.0,2022,2022-23,2021-22
Odriozola,D,Fio,MexicoCity,6.0,1000.0,0.6,6.0,2022,2022-23,2021-22
Di Lorenzo,D,Nap,MexicoCity,25.0,1000.0,2.5,25.0,2022,2022-23,2021-22
Augello,D,Sam,MexicoCity,11.0,1000.0,1.1,11.0,2022,2022-23,2021-22
Callejon,C,Fio,MexicoCity,7.0,1000.0,0.7,7.0,2022,2022-23,2021-22
Zaniolo,C,Rom,MexicoCity,57.0,1000.0,5.7,57.0,2022,2022-23,2021-22
Ruiz,C,Nap,MexicoCity,50.0,1000.0,5.0,50.0,2022,2022-23,2021-22
Sottil,C,Fio,MexicoCity,11.0,1000.0,1.1,11.0,2022,2022-23,2021-22
Frattesi,C,Sas,MexicoCity,8.0,1000.0,0.8,8.0,2022,2022-23,2021-22
Zambo Anguissa,C,Nap,MexicoCity,26.0,1000.0,2.6,26.0,2022,2022-23,2021-22
Damsgaard,C,Sam,MexicoCity,16.0,1000.0,1.6,16.0,2022,2022-23,2021-22
Ricci S.,C,Emp,MexicoCity,9.0,1000.0,0.9,9.0,2022,2022-23,2021-22
Quagliarella,A,Sam,MexicoCity,59.0,1000.0,5.9,59.0,2022,2022-23,2021-22
Zapata D.,A,Ata,MexicoCity,291.0,1000.0,29.1,291.0,2022,2022-23,2021-22
Ibrahimovic,A,Mil,MexicoCity,30.0,1000.0,3.0,30.0,2022,2022-23,2021-22
Raspadori,A,Sas,MexicoCity,20.0,1000.0,2.0,20.0,2022,2022-23,2021-22
Rafael Leao,A,Mil,MexicoCity,46.0,1000.0,4.6,46.0,2022,2022-23,2021-22
Osimhen,A,Nap,MexicoCity,177.0,1000.0,17.7,177.0,2022,2022-23,2021-22
Skorupski,P,Bol,Prickadvisors,7.0,1000.0,0.7,7.0,2022,2022-23,2021-22
Handanovic,P,Int,Prickadvisors,21.0,1000.0,2.1,21.0,2022,2022-23,2021-22
Rui Patricio,P,Rom,Prickadvisors,27.0,1000.0,2.7,27.0,2022,2022-23,2021-22
Gagliolo,D,Sal,Prickadvisors,6.0,1000.0,0.6,6.0,2022,2022-23,2021-22
Calabria,D,Mil,Prickadvisors,27.0,1000.0,2.7,27.0,2022,2022-23,2021-22
De Silvestri,D,Bol,Prickadvisors,15.0,1000.0,1.5,15.0,2022,2022-23,2021-22
Marusic,D,Laz,Prickadvisors,5.0,1000.0,0.5,5.0,2022,2022-23,2021-22
Kjaer,D,Mil,Prickadvisors,16.0,1000.0,1.6,16.0,2022,2022-23,2021-22
Rrahmani,D,Nap,Prickadvisors,14.0,1000.0,1.4,14.0,2022,2022-23,2021-22
Tomori,D,Mil,Prickadvisors,33.0,1000.0,3.3,33.0,2022,2022-23,2021-22
Casale,D,Ver,Prickadvisors,9.0,1000.0,0.9,9.0,2022,2022-23,2021-22
Pellegrini Lo.,C,Rom,Prickadvisors,67.0,1000.0,6.7,67.0,2022,2022-23,2021-22
Perisic,C,Int,Prickadvisors,31.0,1000.0,3.1,31.0,2022,2022-23,2021-22
Deiola,C,Cag,Prickadvisors,8.0,1000.0,0.8,8.0,2022,2022-23,2021-22
Aramu,C,Ven,Prickadvisors,14.0,1000.0,1.4,14.0,2022,2022-23,2021-22
Coulibaly M.,C,Sal,Prickadvisors,13.0,1000.0,1.3,13.0,2022,2022-23,2021-22
Calhanoglu,C,Int,Prickadvisors,35.0,1000.0,3.5,35.0,2022,2022-23,2021-22
Saelemaekers,C,Mil,Prickadvisors,26.0,1000.0,2.6,26.0,2022,2022-23,2021-22
Pobega,C,Tor,Prickadvisors,11.0,1000.0,1.1,11.0,2022,2022-23,2021-22
Rebic,A,Mil,Prickadvisors,95.0,1000.0,9.5,95.0,2022,2022-23,2021-22
Dybala,A,Juv,Prickadvisors,105.0,1000.0,10.5,105.0,2022,2022-23,2021-22
Muriel,A,Ata,Prickadvisors,155.0,1000.0,15.5,155.0,2022,2022-23,2021-22
Caputo,A,Sam,Prickadvisors,78.0,1000.0,7.8,78.0,2022,2022-23,2021-22
Arnautovic,A,Bol,Prickadvisors,35.0,1000.0,3.5,35.0,2022,2022-23,2021-22
Shomurodov,A,Rom,Prickadvisors,14.0,1000.0,1.4,14.0,2022,2022-23,2021-22
Reina,P,Laz,FC PREDIALE,16.0,1000.0,1.6,16.0,2022,2022-23,2021-22
Musso,P,Ata,FC PREDIALE,30.0,1000.0,3.0,30.0,2022,2022-23,2021-22
Montipo',P,Ver,FC PREDIALE,7.0,1000.0,0.7,7.0,2022,2022-23,2021-22
Bonucci,D,Juv,FC PREDIALE,27.0,1000.0,2.7,27.0,2022,2022-23,2021-22
Chiellini,D,Juv,FC PREDIALE,13.0,1000.0,1.3,13.0,2022,2022-23,2021-22
Zappacosta,D,Ata,FC PREDIALE,25.0,1000.0,2.5,25.0,2022,2022-23,2021-22
Fares,D,Gen,FC PREDIALE,9.0,1000.0,0.9,9.0,2022,2022-23,2021-22
Cuadrado,D,Juv,FC PREDIALE,30.0,1000.0,3.0,30.0,2022,2022-23,2021-22
Singo,D,Tor,FC PREDIALE,16.0,1000.0,1.6,16.0,2022,2022-23,2021-22
Kalulu,D,Mil,FC PREDIALE,6.0,1000.0,0.6,6.0,2022,2022-23,2021-22
Theate,D,Bol,FC PREDIALE,10.0,1000.0,1.0,10.0,2022,2022-23,2021-22
Brozovic,C,Int,FC PREDIALE,17.0,1000.0,1.7,17.0,2022,2022-23,2021-22
Bonaventura,C,Fio,FC PREDIALE,35.0,1000.0,3.5,35.0,2022,2022-23,2021-22
Chiesa,C,Juv,FC PREDIALE,130.0,1000.0,13.0,130.0,2022,2022-23,2021-22
Luis Alberto,C,Laz,FC PREDIALE,43.0,1000.0,4.3,43.0,2022,2022-23,2021-22
Orsolini,C,Bol,FC PREDIALE,16.0,1000.0,1.6,16.0,2022,2022-23,2021-22
Barak,C,Ver,FC PREDIALE,24.0,1000.0,2.4,24.0,2022,2022-23,2021-22
Bennacer,C,Mil,FC PREDIALE,10.0,1000.0,1.0,10.0,2022,2022-23,2021-22
Marin,C,Cag,FC PREDIALE,13.0,1000.0,1.3,13.0,2022,2022-23,2021-22
Ilicic,A,Ata,FC PREDIALE,50.0,1000.0,5.0,50.0,2022,2022-23,2021-22
Keita B.,A,Cag,FC PREDIALE,14.0,1000.0,1.4,14.0,2022,2022-23,2021-22
Insigne,A,Nap,FC PREDIALE,141.0,1000.0,14.1,141.0,2022,2022-23,2021-22
Pjaca,A,Tor,FC PREDIALE,8.0,1000.0,0.8,8.0,2022,2022-23,2021-22
Martinez L.,A,Int,FC PREDIALE,263.0,1000.0,26.3,263.0,2022,2022-23,2021-22
Giroud,A,Mil,FC PREDIALE,38.0,1000.0,3.8,38.0,2022,2022-23,2021-22
Perin,P,Juv,Bomber89,1.0,1000.0,0.1,1.0,2022,2022-23,2021-22
Szczesny,P,Juv,Bomber89,41.0,1000.0,4.1,41.0,2022,2022-23,2021-22
Pinsoglio,P,Juv,Bomber89,1.0,1000.0,0.1,1.0,2022,2022-23,2021-22
Dimarco,D,Int,Bomber89,22.0,1000.0,2.2,22.0,2022,2022-23,2021-22
Koulibaly,D,Nap,Bomber89,30.0,1000.0,3.0,30.0,2022,2022-23,2021-22
Manolas,D,Nap,Bomber89,7.0,1000.0,0.7,7.0,2022,2022-23,2021-22
Florenzi,D,Mil,Bomber89,7.0,1000.0,0.7,7.0,2022,2022-23,2021-22
Alex Sandro,D,Juv,Bomber89,25.0,1000.0,2.5,25.0,2022,2022-23,2021-22
Luiz Felipe,D,Laz,Bomber89,5.0,1000.0,0.5,5.0,2022,2022-23,2021-22
Danilo,D,Juv,Bomber89,19.0,1000.0,1.9,19.0,2022,2022-23,2021-22
Hernandez T.,D,Mil,Bomber89,57.0,1000.0,5.7,57.0,2022,2022-23,2021-22
