player_id,stagione,nome,ruolo,ruolo_mantra,squadra,quotazione_attuale,quotazione_iniziale,diff_quotazione,fvm,ceduto,indice_finale,rank_ruolo,totale_ruolo,rank_generale,totale_generale,performance_score,reliability_score,forma_attuale_score,titolarita_score,presenze_pesate,fantamedia,media_voto,presenze_totali,presenza_pct,presenze_medie,gol_stagione,assist_stagione,gs_stagione,rigori_parati,varianza_voto,varianza_gol,ammonizioni,espulsioni,titolarita,is_titolare,infortunato,desc_infortunio,squalificato,rigorista_pos,punizioni_pos,updated_at
1850,2026-27,Kessiè,C,C,ATALANTA,12,12,0,47,False,44.06,77.0,191.0,216.0,560.0,43.68,30.53,0.0,6.32,2.4,6.67,6.1,30,78.9,30.0,6.0,0.0,0.0,0.0,0.438,0.144,2.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
7625,2026-27,Goncalves P.,C,W;T,FIORENTINA,12,12,0,50,False,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,panchina,False,False,,False,3.0,3.0,2026-09-09T13:29:56.628602+00:00
7129,2026-27,Rodriguez Je.,C,W;A,COMO,11,12,-1,31,False,56.32,49.0,191.0,124.0,560.0,57.13,50.63,11.22,25.79,9.8,6.62,6.22,29,38.2,14.5,1.0,4.0,0.0,0.0,0.385,0.069,1.5,0.5,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
5823,2026-27,Baldanzi,C,T,GENOA,11,11,0,28,False,60.61,38.0,191.0,103.0,560.0,53.0,63.37,15.31,50.53,19.2,6.34,6.09,91,39.9,15.2,1.3,0.5,0.0,0.0,0.231,0.158,1.5,0.0,titolare,True,False,,False,,1.0,2026-09-09T13:29:56.628602+00:00
7436,2026-27,Alajbegovic,C,W;T,JUVENTUS,11,12,-1,42,False,18.95,160.0,191.0,434.0,560.0,0.0,0.0,11.22,0.0,0.0,5.5,5.5,1,2.6,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
4892,2026-27,Saelemaekers,C,E;W,MILAN,11,10,1,35,False,71.38,9.0,191.0,24.0,560.0,58.63,83.08,41.16,78.82,29.95,6.47,6.1,152,66.7,25.3,2.8,2.5,0.0,0.0,0.411,0.25,3.0,0.2,panchina,False,False,,False,,3.0,2026-09-09T13:29:56.628602+00:00
7078,2026-27,Mastantuono,C,W;T,FIORENTINA,11,12,-1,50,False,18.48,161.0,191.0,439.0,560.0,0.0,0.0,4.08,0.0,0.0,5.25,5.25,2,5.3,2.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,titolare,True,False,,False,,1.0,2026-09-09T13:29:56.628602+00:00
6372,2026-27,Moreira,C,E;W,MILAN,11,12,-1,45,False,18.05,164.0,191.0,443.0,560.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
184,2026-27,Bernardeschi,C,W;T,BOLOGNA,10,9,1,27,False,50.52,64.0,191.0,174.0,560.0,40.39,40.97,41.16,27.58,10.48,6.3,5.99,52,45.6,17.3,1.7,1.7,0.0,0.0,0.309,0.126,2.7,0.0,titolare,True,False,,False,2.0,2.0,2026-09-09T13:29:56.628602+00:00
6844,2026-27,Rowe,C,W;T,ATALANTA,10,11,-1,40,False,57.2,45.0,191.0,119.0,560.0,55.63,50.0,11.22,25.79,9.8,6.55,6.17,29,38.2,14.5,1.5,1.5,0.0,0.0,0.291,0.096,1.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
